Symbol,Volume
BSFC,67064000
BSGM,212200
BSII,122300
BSIIU,389700
BSIIW,245700
BSJO,283700
BSJP,273700
BSJQ,1057300
BSJR,62800
BSJS,87000
BSJT,54700
BSJU,26100
BSJV,400
BSJW,1400
BSLK,108400
BSMO,24900
BSMP,40400
BSMQ,13400
BSMR,10900
BSMS,21800
BSMT,40400
BSMU,59100
BSMV,130000
BSMW,4200
BSMY,6200
BSRR,57600
BSSX,5600
BSVN,15200
BSVO,88300
BSY,614200
BTAI,495000
BTBD,300
BTBT,26720100
BTCS,759300
BTCT,569200
BTCTW,52900
BTDR,3739900
BTF,65800
BTFX,95600
BTGD,98000
BTM,405500
BTMD,180100
BTMWW,40100
BTOC,442900
BTOG,45300
BTSG,949800
BTSGU,1400
BUFC,61700
BUG,92600
BULD,100
BUSE,232700
BVFL,29400
BVS,377100
BWAY,44900
BWB,64400
BWBBP,2300
BWEN,85500
BWFG,24400
BWIN,328300
BWMN,34900
BYFC,50400
BYND,3994600
BYNOW,61100
BYRN,287000
BYSI,13400
BZ,4187000
BZFD,1207300
BZFDW,33500
BZUN,444500
CA,3300
CAAS,25200
CABA,4921000
CAC,86200
CACC,62500
CADL,492300
CAFG,9600
CAKE,1001300
CALC,30300
CALI,4200
CALM,504800
CAMP,55700
CAMT,476500
CAN,18227600
CANC,3000
CANQ,2500
CAPN,5200
CAPR,1219900
CAPT,505300
CAPTW,100
CAR,365100
CARA,654900
CARE,61700
CARG,806100
CARM,157200
CART,2762800
CARV,6600
CARZ,1600
CASH,119100
CASI,55000
CASK,116800
CASS,37600
CASY,199400
CATH,11600
CATY,243200
CBAT,226500
CBFV,4700
CBLL,182400
CBNK,27100
CBRL,582900
CBSH,494000
CBUS,112200
CCAP,87900
CCB,41100
CCBG,24100
CCCC,1052500
CCCS,2531600
CCD,84100
CCEC,15600
CCEP,1356900
CCG,370100
CCGWW,16300
CCIX,240300
CCIXU,5100
CCIXW,300
CCLD,122200
CCLDO,5200
CCLDP,26700
CCNE,58000
CCNEP,2200
CCNR,105100
CCOI,390000
CCRN,334500
CCSB,500
CCSI,106900
CCSO,2500
CCTG,14500
CDC,17300
CDIO,8222100
CDIOW,200
CDL,3400
CDLX,1086600
CDMO,1391400
CDNA,929000
CDNS,1144000
CDRO,212000
CDROW,33400
CDT,12375800
CDTG,85500
CDTX,32900
CDW,1792700
CDXC,1030300
CDXS,618500
CDZI,4208600
CDZIP,37800
CEAD,12900
CEADW,120400
CECO,291300
CEFA,600
CEG,3881600
CELC,282600
CELH,10645000
CELU,50300
CELUW,1600
CELZ,11000
CENN,114000
CENT,312000
CENTA,476900
CENX,945200
CEP,3600
CERO,8642700
CEROW,11000
CERS,1139200
CERT,1003700
CETX,566000
CETY,10100
CEVA,176000
CFA,7300
CFB,178500
CFBK,21100
CFFI,23600
CFFN,623100
CFFS,4300
CFLT,5739000
CFO,10200
CFSB,900
CG,2262500
CGABL,16000
CGBD,270500
CGBDL,14000
CGBS,498100
CGBSW,47000
CGC,5067200
CGEM,394600
CGEN,406600
CGNT,215100
CGNX,900600
CGO,62600
CGON,269600
CGTL,1496600
CGTX,7019600
CHARU,179100
CHCI,18000
CHCO,52200
CHDN,420800
CHEF,381500
CHEK,6100
CHI,108900
CHKP,626900
CHMG,19000
CHNR,8800
CHPS,200
CHR,6900
CHRD,934000
CHRS,6098900
CHRW,1513700
CHSCL,34900
CHSCM,33600
CHSCN,43200
CHSCO,24200
CHSCP,40800
CHSN,106900
CHTR,1155100
CHW,145500
CHX,1603200
CHY,118600
CIBR,426000
CIFR,9376600
CIFRW,82400
CIGI,53000
CIL,100
CINF,468700
CING,63600
CINGW,8400
CISO,35900
CISS,225400
CITE,200
CITEW,3700
CIVB,53800
CJET,8900
CJJD,4000
CKPT,1652300
CLAR,236600
CLBK,83200
CLBT,1834700
CLDX,3325100
CLEU,193700
