Symbol,Volume
GTY,159600
GUG,101500
GUT,440100
GUT-C,4800
GVA,494700
GWH,80800
GWH.W,11000
GWRE,850000
GWW,187100
GXO,526400
GYLD,3200
H,477700
HAE,602100
HAFN,1623600
HAL,11141900
HASI,1045600
HAYW,2137100
HBB,50600
HBI,8765400
HBM,3416600
HCA,1056500
HCC,677900
HCI,90600
HD,2758500
HDB,4126500
HE,2340900
HEI,437400
HEI.A,197200
HEQ,16300
HES,1434700
HESM,653500
HFR-A,29300
HFRO,549400
HG,184600
HGER,229200
HGLB,45700
HGTY,130200
HGV,3129800
HHH,173400
HI,609500
HIG,1034300
HIG-G,15700
HII,573800
HIMS,19613500
HIO,435500
HIPO,173700
HIW,687300
HIX,490100
HKD,195700
HL,10054800
HLF,2527300
HLI,308000
HLIO,70100
HLL.W,400
HLLY,443900
HLN,4856800
HLT,1108100
HLX,919700
HMC,1455300
HMN,186600
HMY,3220700
HNI,226000
HOG,1261000
HOMB,811100
HOUS,1043900
HOV,64700
HP,1285400
HPE,8299300
HPE-C,210600
HPF,22300
HPI,49100
HPP,4582900
HPP-C,28200
HPQ,12112400
HPS,62100
HQH,236100
HQL,105800
HR,7667100
HRB,1854400
HRI,233100
HRL,2312200
HRTG,175300
HSBC,663700
HSHP,63800
HSY,1307500
HTD,70800
HTFC,100
HTGC,992300
HTH,149500
HUBB,489100
HUBS,300300
HUM,1555900
HUN,1572100
HUYA,977400
HVT,170600
HWM,1947800
HXL,885000
HY,86200
HYA.W,2500
HYAC,3000
HYB,33300
HYBX,2900
HYI,210600
HYT,413000
HYTR,1800
HZO,167800
IAE,27800
IAG,5178600
IBM,4449500
IBN,3933100
IBP,334700
IBTA,357100
ICE,3464200
ICL,663000
ICR-A,1400
IDA,350100
IDE,171200
IDT,90200
IEX,482200
IFF,1232100
IFN,94100
IFS,70200
IGA,19000
IGCB,1300
IGD,173200
IGI,21300
IGR,388900
IGT,1183100
IH,36400
IHD,50200
IHG,130400
IHS,358800
IIF,36300
IIIN,136800
IIM,149200
IIP-A,700
IIPR,292000
IMAX,441200
INFA,3033900
INFY,7339600
ING,2478700
INGM,349000
INGR,288800
INN,612700
INN-E,1900
INN-F,1400
INSI,9300
INSP,421900
INSW,735500
INVH,2538800
INVX,502100
ION.W,196800
IONQ,22521800
IOT,1822500
IP,4450000
IPG,4972300
IPI,86600
IQI,227700
IQV,1370000
IR,1426700
IRM,1018900
IRS,447200
IRT,2257800
ISD,124600
IT,545700
ITGR,292500
ITT,369800
ITUB,21295400
ITW,828800
IVR,604400
IVR-B,2800
IVR-C,10000
IVT,445800
IVZ,2756700
IX,79600
J,953400
JBGS,473500
JBI,2111700
JBK,25800
JBL,865400
JBND,80200
JBT,592400
JCE,43400
JCI,4447900
JEF,1425400
JELD,695300
JEQ,36300
JFR,276000
JGH,37600
JHG,1214100
JHI,22200
JHS,21800
JHX,92500
JILL,88200
JKS,581300
JLL,280900
JLS,7700
JMIA,3888300
JMM,3100
JNJ,5683400
JNPR,2835800
JOB.W,153100
JOBY,21516700
JOE,309200
JOF,62700
JPC,869900
JPI,7700
JPM,6212100
JPM-C,73100
JPM-D,52800
JPM-J,61300
