Symbol,Date,Open,High,Low,Close,Volume
ANSS,26-Nov-2024,352.65,352.7,347.855,349.85,510500
ANTE,26-Nov-2024,0.5,0.51,0.47,0.4776,50700
ANTX,26-Nov-2024,1.4,1.41,1.37,1.39,309300
ANY,26-Nov-2024,1.28,1.33,1.18,1.2,810000
AOSL,26-Nov-2024,39.97,41.1,38.7,39.68,963400
AOTG,26-Nov-2024,46.77,46.77,46.77,46.77,100
AOUT,26-Nov-2024,9.5,9.85,9.32,9.7,33200
APA,26-Nov-2024,22.76,22.835,22.245,22.52,4680400
APCX,26-Nov-2024,0.489,0.505,0.4607,0.469,84300
APDN,26-Nov-2024,0.159,0.163,0.156,0.157,1772800
APEI,26-Nov-2024,20.28,20.715,19.53,20.52,88000
APGE,26-Nov-2024,44.11,44.43,43.125,43.96,448600
API,26-Nov-2024,4.35,5,4.27,4.74,1818700
APLD,26-Nov-2024,10.56,10.68,9.555,9.74,16050800
APLM,26-Nov-2024,8.81,9.22,7.55,8.16,392900
APLMW,26-Nov-2024,0.0151,0.03,0.0087,0.0272,698100
APLS,26-Nov-2024,32.29,32.98,31.8,32.63,3302000
APLT,26-Nov-2024,9.58,10.48,9.45,10.21,2471800
APM,26-Nov-2024,0.71,0.7298,0.5863,0.6702,56200
APOG,26-Nov-2024,84.17,85.765,83.4,85.19,150200
APP,26-Nov-2024,324.46,334.74,320.37,329.77,4442100
APPF,26-Nov-2024,251.6,255.58,248.2858,255.4,163700
APPN,26-Nov-2024,38.02,38.225,37.5,37.67,324600
APPS,26-Nov-2024,1.46,1.51,1.39,1.42,3043400
APRE,26-Nov-2024,2.88,3.0774,2.88,2.97,4900
APTO,26-Nov-2024,0.185,0.1852,0.1703,0.178,627100
APVO,26-Nov-2024,0.31,0.3592,0.31,0.336,3027900
APWC,26-Nov-2024,1.94,2.02,1.9,1.97,3900
APXI,26-Nov-2024,11.89,11.89,11.89,11.89,1500
APYX,26-Nov-2024,1.44,1.48,1.39,1.45,42700
AQB,26-Nov-2024,0.99,1.03,0.965,0.99,23400
AQMS,26-Nov-2024,2.58,2.58,2.12,2.26,179400
AQST,26-Nov-2024,4.81,5.0599,4.7515,4.88,1520700
AQWA,26-Nov-2024,18.44,18.44,18.221,18.32,1800
ARAY,26-Nov-2024,2.02,2.04,1.95,1.96,492200
ARBB,26-Nov-2024,0.46,0.5095,0.4516,0.4601,141300
ARBE,26-Nov-2024,1.99,1.99,1.87,1.91,330200
ARBEW,26-Nov-2024,0.18,0.18,0.1663,0.18,7800
ARBK,26-Nov-2024,1.09,1.105,1.05,1.06,1211400
ARBKL,26-Nov-2024,8.48,8.8796,8.48,8.54,4300
ARCB,26-Nov-2024,111.32,113.19,109.53,113.05,197200
