Ticker,Volume,number_options
FROG,708800,8
FWRD,595600,8
GEVO,3885400,8
GFS,2160000,8
GH,1912500,8
GOOS,801700,8
GPN,1937000,8
GT,5325300,8
GXO,526400,8
HLT,1108100,8
ICE,3464200,8
INFY,7339600,8
INO,387300,8
IRM,1018900,8
JCI,4447900,8
KDP,9592900,8
KOS,3673400,8
LASE,303400,8
MSI,611000,8
MSTX,13852000,8
NBIX,757800,8
NDAQ,1964900,8
NOC,849200,8
NOVA,10993700,8
ODD,533800,8
ODP,491300,8
OKE,4953000,8
OPK,6789900,8
PAYC,479500,8
PAYX,1366800,8
PBF,1249900,8
PCAR,2131300,8
PLAY,1041400,8
PLD,3367100,8
PLNT,659700,8
PZZA,865700,8
QUBT,45862300,8
ROIV,5509300,8
SHW,1889300,8
SLNO,1528600,8
SLS,512300,8
SMTC,6885000,8
SNPS,767700,8
SOXX,2783800,8
STM,6140300,8
STT,2184700,8
SWKS,1863800,8
SYY,2710100,8
TCOM,3275300,8
TKO,907400,8
TLN,812500,8
TSN,1669900,8
VERU,1704100,8
VSCO,1537400,8
WM,1211000,8
XPO,1390200,8
XRX,1928500,8
ZTS,2539500,8
A,3444100,7
ABUS,608500,7
AES,20868700,7
AGL,4577700,7
ALAB,4343800,7
ALK,1145600,7
ALNY,985900,7
AMKR,950400,7
AMR,153500,7
AMRC,317900,7
ANSS,510500,7
AON,974500,7
APH,4606600,7
ARCC,3898200,7
ARRY,4594200,7
ATEC,1012100,7
AXON,619300,7
BBIO,4317400,7
BEN,3406100,7
BK,3239900,7
BNTX,771400,7
BRBR,1167900,7
BWXT,521800,7
BXP,968300,7
BYD,478800,7
CARR,5718700,7
CBRL,582900,7
CDE,6053300,7
CDLX,1086600,7
CENX,945200,7
CINF,468700,7
CIVI,1054700,7
CNK,7899400,7
CODX,336900,7
COMM,3245200,7
COMP,3715000,7
CONL,9190500,7
COR,977900,7
COUR,3442500,7
CRK,1213400,7
CRTO,790800,7
CTLT,1963900,7
CYTK,1092100,7
DV,1507700,7
EAT,899100,7
ECL,809300,7
EDR,6397600,7
ELAN,5445600,7
ELV,1611200,7
ENB,4560200,7
ERJ,2361900,7
EVH,3569000,7
FERG,1286900,7
FIVN,1499600,7
FLEX,5705200,7
FLG,4449000,7
FULC,848000,7
GCT,763200,7
GERN,3781100,7
GFL,747400,7
GL,388000,7
GTX,1036100,7
HASI,1045600,7
HBAN,9103300,7
HPP,4582900,7
HUBS,300300,7
HWM,1947800,7
IFF,1232100,7
IMTX,710600,7
IMVT,718300,7
INCY,1475600,7
INDI,2728300,7
INMD,864300,7
IVZ,2756700,7
J,953400,7
KLAC,923400,7
KMX,1605600,7
LBRT,2264400,7
LC,831600,7
LDOS,1278500,7
LITE,1144400,7
LNG,1314100,7
LQDA,870000,7
LTH,999600,7
LUNG,105200,7
LYB,3047100,7
MAT,3844800,7
MKC,1239300,7
MODG,2487600,7
MRC,999200,7
MTB,778400,7
MUR,1528300,7
NN,1317800,7
NTRA,969200,7
NWL,5946800,7
O,3038800,7
OLED,811400,7
OLLI,937800,7
OPRA,335200,7
OSIS,321400,7
OTIS,1179900,7
OUT,2555500,7
OVV,3314300,7
PCRX,475000,7
PODD,522500,7
PPL,6555700,7
PRGO,1145600,7
PRIM,519300,7
RBRK,979200,7
REAL,3156000,7
RF,6036300,7
RPD,582900,7
RVMD,764400,7
RY,540700,7
SBLK,2277200,7
SCCO,839400,7
SKX,1334700,7
SLG,2734600,7
SMAR,1191300,7
SOC,763600,7
SRRK,1418100,7
STNG,804500,7
SYK,1014500,7
TAP,2132600,7
TD,2331800,7
TDG,344800,7
TER,1768300,7
TME,6010600,7
TRGP,1733700,7
TRU,1440700,7
TRV,1339100,7
TT,1229800,7
VIST,1748600,7
VLY,8978500,7
VNO,1434500,7
VNOM,858000,7
VSAT,3356900,7
VSTS,2523500,7
WBS,1065500,7
WES,1133400,7
WGO,412300,7
WING,429400,7
WMG,1658300,7
WST,315700,7
XYL,1536300,7
YUMC,2448300,7
ZBH,1043700,7
AAOI,2906600,6
ABEV,13571500,6
ACGL,1269200,6
ACLS,587100,6
ADMA,2140900,6
AEHR,771300,6
AER,1002700,6
AISP,908100,6
ALGM,2158600,6
ALGT,285100,6
ALIT,4675400,6
ALTG,248700,6
ALTM,5881000,6
ALXO,550400,6
AM,1715400,6
ANAB,686700,6
APLS,3302000,6
APPS,3043400,6
ARDX,3040100,6
ARHS,1441200,6
ARQT,2766600,6
ASND,508100,6
ATO,603700,6
ATUS,2105000,6
AUPH,750600,6
AUR,9537500,6
AVAV,437800,6
AVDL,1070800,6
AXL,1842100,6
AYI,249200,6
AZUL,1308900,6
BAH,1661900,6
BBAI,12478500,6
BBD,21842000,6
BCE,3286100,6
BCRX,1432100,6
BCS,8174000,6
BEAM,716200,6
BG,1518200,6
BHVN,838400,6
BIRK,775900,6
BJ,1831300,6
BL,771300,6
BLUE,3380800,6
BMO,452400,6
BMRN,999700,6
BOOT,1160100,6
BOX,1770300,6
BPMC,516400,6
BROS,1599900,6
BSM,541300,6
BTDR,3739900,6
BW,719200,6
BXMT,1090200,6
BZFD,1207300,6
CABA,4921000,6
CAMT,476500,6
CBL,231700,6
CCK,1124400,6
CCOI,390000,6
CECO,291300,6
CHDN,420800,6
CHRW,1513700,6
CIEN,1086300,6
CM,804500,6
CMI,400900,6
CMPS,541600,6
CNM,2190400,6
COOP,519100,6
CP,5979900,6
CRBG,3502500,6
CRDO,2883400,6
CRNX,368300,6
CTVA,3959100,6
CVE,13823400,6
CWH,1399500,6
CXM,2224500,6
CYH,1635100,6
DAR,2257400,6
DAVE,284500,6
DBI,2555500,6
DDD,2597900,6
DHT,1822300,6
DNA,845900,6
DOOO,264300,6
DOV,752300,6
DUOL,875600,6
DVAX,1538400,6
EAF,2379100,6
ED,2435300,6
EME,451800,6
ENTG,2092400,6
EPR,427500,6
EQIX,708100,6
EQNR,3782300,6
EQR,1071500,6
ESPR,7582900,6
ETR,1856500,6
EVGO,4975500,6
EVLV,5130500,6
EVRI,451800,6
EXEL,1308100,6
EXK,4061600,6
FA,1173800,6
FFIV,391700,6
FGEN,368300,6
FIVE,2061200,6
FLNC,9581000,6
FLS,928600,6
FLUT,1148000,6
FSM,6671700,6
